ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
106,Lamar University,Lamar,Cardinals,Beaumont,TX,Public,FCS,Southland Conference,6,0,0
107,Le Moyne College,Le Moyne,Dolphins,DeWitt,NY,Private,Non-football,Northeast Conference,0,0,0
108,Lehigh University,Lehigh,Mountain Hawks,Bethlehem,PA,Private,FCS,Patriot League,5,0,0
109,Liberty University,Liberty,Flames,Lynchburg,VA,Private,FBS,Conference USA,5,0,0
110,Lindenwood University,Lindenwood,Lions,St. Charles,MO,Private,FCS,Ohio Valley Conference,0,0,0
111,Lipscomb University,Lipscomb,Bisons,Nashville,TN,Private,Non-football,ASUN Conference,1,0,0
112,Long Island University,LIU,Sharks,Brooklyn & Brookville,NY,Private,FCS,Northeast Conference,7,0,0
113,Longwood University,Longwood,Lancers,Farmville,VA,Public,Non-football,Big South Conference,1,0,0
114,Louisiana State University and Agricultural and Mechanical College,LSU,Tigers,Baton Rouge,LA,Public,FBS,Southeastern Conference,24,4,0
115,Louisiana Tech University,Louisiana Tech,Bulldogs,Ruston,LA,Public,FBS,Conference USA,5,0,0
116,Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,CA,Private,Non-football,West Coast Conference,5,0,0
117,Loyola University Chicago,Loyola Chicago,Ramblers,Chicago,IL,Private,Non-football,Atlantic 10 Conference,8,2,1
118,Loyola University Maryland,Loyola,Greyhounds,Baltimore,MD,Private,Non-football,Patriot League,2,0,0
119,Manhattan College,Manhattan,Jaspers,Riverdale,NY,Private,Non-football,Metro Atlantic Athletic Conference,8,0,0
120,Marist College,Marist,Red Foxes,Poughkeepsie,NY,Private,FCS,Metro Atlantic Athletic Conference,2,0,0
121,Marquette University,Marquette,Golden Eagles,Milwaukee,WI,Private,Non-football,Big East Conference,35,3,1
122,Marshall University,Marshall,Thundering Herd,Huntington,WV,Public,FBS,Sun Belt Conference,6,0,0
123,McNeese State University,McNeese,Cowboys,Lake Charles,LA,Public,FCS,Southland Conference,2,0,0
